item,mass_kg,percent_of_total,station_m_from_nose,provenance,note
"Propellant, sustain",172.000,31.20,2.5526,analytic,
"Propellant, boost",130.000,23.58,1.5371,analytic,
Warhead,90.000,16.33,0.8250,requirement,SPEC R4
"Propellant, terminal",40.000,7.26,3.2655,analytic,
Airframe structure and fins,38.731,7.03,2.2533,ntop_measured,nTop solid volume 0.013783255651291225 m^3
Dry-mass contingency,18.194,3.30,1.7683,correlation,"18 percent on 101.1 kg of dry mass, AIAA S-120A Class-I"
"Guidance, seeker, actuation",15.000,2.72,0.4250,requirement,SPEC R5
Radome,13.522,2.45,0.5355,analytic,"ogive area 0.8668 m^2 x 6.0 mm, thickness is a guess"
Motor hardware not modelled,13.154,2.39,2.2500,correlation,"bottom-up sum 20.7 kg raised to the tactical-motor correlation floor 33.8 kg (mass fraction 0.92); covers skirts, joints, closures, nozzle liner and exit cone"
Motor insulation,10.510,1.91,2.2500,analytic,
Motor case,5.597,1.02,2.2500,analytic,t = 1.20 mm
Nozzle assembly,2.853,0.52,3.5200,correlation,
Igniter,1.710,0.31,1.1500,analytic,guess
TOTAL,551.271,100.00,1.9131,,
