name,confidence,source
SUAVE,sourced,"Stanford ADL, SUAVE 2.5.2 (Mar 2022), github.com/suavecode/SUAVE"
US_Standard_1976,sourced,"NASA-TM-X-74335, U.S. Standard Atmosphere 1976; via SUAVE 2.5.2"
aero_base_drag,sourced,"Base drag on the base area. Coast: CD_base = 0.25/M for M > 1 and CD_base = 0.12 + 0.13 M^2 for M < 1, referenced to the base area. Power-on: multiplied by (1 - A_e/A_base). Fleeman, Tactical Missile Design / Maximizing Missile Flight Performance course notes. The two branches are continuous at M = 1 (both give 0.25) but have a slope kink there, so they are blended over 0.95 <= M <= 1.05."
aero_boattail_drag,sourced,"Boattail pressure drag from the exact Prandtl-Meyer expansion through the boattail half-angle, applied as -Cp on the projected annulus (S_ref - S_base): Cp = (2/(gamma M^2))(p2/p1 - 1). Standard oblique-expansion gas dynamics, Liepmann and Roshko, Elements of Gasdynamics (1957), the same reference McCoy's MC DRAG (ARBRL-MR-02293) cites for boattail pressure drag. Pressure recovery along the boattail is NOT modelled, so this is an upper bound on the boattail contribution."
aero_body_form_factor,sourced,"Body-of-revolution form factor FF = 1 + 60/f^3 + f/400 with f = L/D. Raymer, Aircraft Design: A Conceptual Approach 5th ed., eq. 12.31. Raymer intends this for subsonic flow; it is applied at all Mach here, which is conservative and worth 4 to 9 percent of the body friction term at the fineness ratios of interest."
aero_body_normal_force,sourced,"CN_body = (A_base/S_ref) sin(2 alpha) cos(alpha/2) + eta Cd_cross (A_p/S_ref) sin^2(alpha). First term is slender-body potential lift (Munk; Pitts, Nielsen and Kaattari, NACA TR 1307), whose alpha -> 0 slope is 2 A_base/S_ref per radian. Second term is the Allen and Perkins viscous cross-flow term (H. J. Allen and E. W. Perkins, NACA Report 1048 / NACA RM A50L07, 1951), generalised by Jorgensen (NASA TN D-6996). eta Cd_cross = pi/2 = 1.5708 is fixed so the expression reduces exactly to the published closed form in Fleeman, |CN|_body = sin(2a) cos(a/2) + 2 (l/d) sin^2(a), for a cylinder of planform area l*d. With Cd_cross = 1.2 for a circular cylinder that implies a cross-flow drag proportionality factor eta = 1.31."
aero_body_wave_drag,sourced,"Forebody zero-lift wave drag (CD0)body,wave = (1.59 + 1.83/M^2) [atan(0.5/(l_N/d))]^1.69 for M > 1, arctangent in radians. Fleeman, Tactical Missile Design / Maximizing Missile Flight Performance course notes, attributed there to the Bonney correlation. The correlation is fitted to pointed forebodies and does not distinguish a cone from a tangent ogive of the same fineness."
aero_crossflow_cp,sourced,"Viscous cross-flow lift acts at the centroid of the body planform area. Allen and Perkins, NACA Report 1048."
aero_fin_afterbody_carryover,sourced,"Fin-to-body afterbody carryover factor K_carryover, default 1.0. Pitts, Nielsen and Kaattari (NACA TR 1307) tabulate K_B(W); at supersonic speed the carryover region is bounded by the Mach cone, and for a tail fin whose trailing edge is at or near the body base there is no afterbody left to carry the load, which is the case for this configuration. Exposed as a constructor argument so a DATCOM or measured value can be supplied when the fins move forward."
aero_fin_body_upwash,sourced,"Fin-body upwash interference factor K_upwash = 1 + a/s, with a the body radius and s the fin tip radius from the body axis. This is Barrowman's fin-body interference factor (J. S. Barrowman, The Practical Calculation of the Aerodynamic Characteristics of Slender Finned Vehicles, 1967) and is identically the span average of the two-dimensional cross-flow upwash 1 + a^2/y^2 about a circular cylinder from y = a to y = s, the same potential solution Allen and Perkins use."
