quantity,value,unit,requirement,status
launch mass,551.3,kg,<= 1100,met
burnout mass,209.3,kg,,
range,194.0,km,>= 185,met
Mach at impact,1.68,-,>= 1.50,met
max dynamic pressure,199.1,kPa,<= 200,"met, ACTIVE"
flight time,316.5,s,,
body diameter,0.350,m,<= 0.45,met
overall length,3.600,m,<= 4.20,met
"fin span, tip to tip",0.810,m,<= 0.90,met
"centre of gravity, launch",1.913,m from nose,,
"centre of gravity, burnout",1.363,m from nose,,
nTop-measured mass fraction,7.0,percent,,
geometry measured by nTop,True,-,,
